公司ID: E111


季度: 2.017080e+05  ,  金额: 23336.200000

季度: 2.017090e+05  ,  金额: 36767.400000

季度: 2.017100e+05  ,  金额: 26785.800000

季度: 2.017110e+05  ,  金额: 14264.400000

季度: 2.017120e+05  ,  金额: 10629.600000

季度: 2.018010e+05  ,  金额: 13312.200000

季度: 2.018020e+05  ,  金额: 1970.000000

季度: 2.018030e+05  ,  金额: 34939.200000

季度: 2.018040e+05  ,  金额: 34770.000000

季度: 2.018050e+05  ,  金额: 28518.000000

季度: 2.018060e+05  ,  金额: 231120.000000

季度: 2.018070e+05  ,  金额: 28978.000000

季度: 2.018080e+05  ,  金额: 40860.600000

季度: 2.018090e+05  ,  金额: 62457.800000

季度: 2.018100e+05  ,  金额: 20186.200000

季度: 2.018110e+05  ,  金额: 39302.800000

季度: 2.018120e+05  ,  金额: 42376.300000

季度: 2.019010e+05  ,  金额: -225571.600000

季度: 2.019020e+05  ,  金额: 32078.500000

季度: 2.019030e+05  ,  金额: 50780.600000

季度: 2.019040e+05  ,  金额: 62495.800000

季度: 2.019050e+05  ,  金额: 13757.000000

季度: 2.019060e+05  ,  金额: 34632.000000

季度: 2.019070e+05  ,  金额: 75389.800000

季度: 2.019080e+05  ,  金额: -66591.400000

季度: 2.019090e+05  ,  金额: 7205.000000

季度: 2.019100e+05  ,  金额: 30033.800000

季度: 2.019110e+05  ,  金额: 15007.000000

季度: 2.019120e+05  ,  金额: 81911.200000

季度: 2.020010e+05  ,  金额: 77439.600000

总流水交易额为: 879141.800000, 总流水月平均交易额为: 29304.726667
