公司ID: E73


季度: 2.017010e+05  ,  金额: 291774.000000

季度: 2.017020e+05  ,  金额: 284775.000000

季度: 2.017030e+05  ,  金额: 327905.000000

季度: 2.017040e+05  ,  金额: 333460.000000

季度: 2.017050e+05  ,  金额: 29620.000000

季度: 2.017060e+05  ,  金额: 243948.000000

季度: 2.017070e+05  ,  金额: 239517.000000

季度: 2.017080e+05  ,  金额: 213692.000000

季度: 2.017090e+05  ,  金额: 287800.000000

季度: 2.017100e+05  ,  金额: 250002.000000

季度: 2.017110e+05  ,  金额: 245894.000000

季度: 2.017120e+05  ,  金额: 499464.000000

季度: 2.018010e+05  ,  金额: 318842.000000

季度: 2.018020e+05  ,  金额: 126920.000000

季度: 2.018030e+05  ,  金额: 248872.000000

季度: 2.018040e+05  ,  金额: 186073.160000

季度: 2.018050e+05  ,  金额: 165859.000000

季度: 2.018060e+05  ,  金额: 131950.000000

季度: 2.018070e+05  ,  金额: 72389.000000

季度: 2.018080e+05  ,  金额: 158561.600000

季度: 2.018090e+05  ,  金额: 149181.000000

季度: 2.018100e+05  ,  金额: 77065.000000

季度: 2.018110e+05  ,  金额: 183630.000000

季度: 2.018120e+05  ,  金额: 195359.000000

季度: 2.019010e+05  ,  金额: 320389.000000

季度: 2.019020e+05  ,  金额: 138360.000000

季度: 2.019030e+05  ,  金额: 231611.000000

季度: 2.019040e+05  ,  金额: 135300.000000

季度: 2.019050e+05  ,  金额: 100164.000000

季度: 2.019060e+05  ,  金额: 50292.580000

季度: 2.019070e+05  ,  金额: 152574.590000

季度: 2.019080e+05  ,  金额: 112091.670000

季度: 2.019090e+05  ,  金额: 65415.140000

季度: 2.019100e+05  ,  金额: 163275.060000

季度: 2.019110e+05  ,  金额: 91551.460000

季度: 2.019120e+05  ,  金额: 168513.920000

季度: 2.020010e+05  ,  金额: 32904.000000

总流水交易额为: 7024995.180000, 总流水月平均交易额为: 189864.734595
