公司ID: E15


季度: 2.016100e+05  ,  金额: 917852.870000

季度: 2.016110e+05  ,  金额: 824468.000000

季度: 2.016120e+05  ,  金额: 26802923.360000

季度: 2.017010e+05  ,  金额: 3836200.920000

季度: 2.017040e+05  ,  金额: 3945504.000000

季度: 2.017050e+05  ,  金额: 72118.000000

季度: 2.017060e+05  ,  金额: 1341053.660000

季度: 2.017070e+05  ,  金额: 8642689.550000

季度: 2.017090e+05  ,  金额: 6798080.950000

季度: 2.017100e+05  ,  金额: 1799021.250000

季度: 2.017110e+05  ,  金额: 2072515.000000

季度: 2.017120e+05  ,  金额: 16987190.010000

季度: 2.018010e+05  ,  金额: 12929850.900000

季度: 2.018050e+05  ,  金额: 4388084.230000

季度: 2.018060e+05  ,  金额: 17269505.950000

季度: 2.018070e+05  ,  金额: 2216957.580000

季度: 2.018080e+05  ,  金额: 12172356.600000

季度: 2.018090e+05  ,  金额: 3086510.970000

季度: 2.018100e+05  ,  金额: 12181095.250000

季度: 2.018120e+05  ,  金额: 18992278.660000

季度: 2.019010e+05  ,  金额: 9848046.590000

季度: 2.019030e+05  ,  金额: 5808133.850000

季度: 2.019040e+05  ,  金额: 3956232.920000

季度: 2.019050e+05  ,  金额: 3331867.470000

季度: 2.019060e+05  ,  金额: 11727610.370000

季度: 2.019070e+05  ,  金额: 8815171.680000

季度: 2.019080e+05  ,  金额: 10204835.780000

季度: 2.019090e+05  ,  金额: 2292015.160000

季度: 2.019100e+05  ,  金额: 6240680.630000

总流水交易额为: 219500852.160000, 总流水月平均交易额为: 7568994.902069
