公司ID: E122


季度: 2.017040e+05  ,  金额: 10886.000000

季度: 2.017050e+05  ,  金额: 9440.910000

季度: 2.017060e+05  ,  金额: 3842.190000

季度: 2.017070e+05  ,  金额: 959.110000

季度: 2.017080e+05  ,  金额: 2447.910000

季度: 2.017090e+05  ,  金额: 283.860000

季度: 2.017100e+05  ,  金额: -820.500000

季度: 2.017110e+05  ,  金额: 1157.000000

季度: 2.017120e+05  ,  金额: 5300.500000

季度: 2.018010e+05  ,  金额: 1955.450000

季度: 2.018020e+05  ,  金额: 188.980000

季度: 2.018030e+05  ,  金额: 4116.000000

季度: 2.018060e+05  ,  金额: 243.000000

季度: 2.018080e+05  ,  金额: 4296.000000

季度: 2.018100e+05  ,  金额: 4186.000000

季度: 2.018110e+05  ,  金额: 862.410000

季度: 2.018120e+05  ,  金额: 2003.190000

季度: 2.019010e+05  ,  金额: 308.000000

季度: 2.019030e+05  ,  金额: 2555.420000

季度: 2.019040e+05  ,  金额: 1310.420000

季度: 2.019050e+05  ,  金额: 834.000000

季度: 2.019070e+05  ,  金额: 289.860000

季度: 2.019080e+05  ,  金额: 277.590000

季度: 2.019100e+05  ,  金额: 819.000000

季度: 2.019110e+05  ,  金额: 1250.730000

季度: 2.020010e+05  ,  金额: 952.570000

总流水交易额为: 59945.600000, 总流水月平均交易额为: 2305.600000
