公司ID: E77


季度: 2.017010e+05  ,  金额: 88335.000000

季度: 2.017020e+05  ,  金额: 98150.000000

季度: 2.017030e+05  ,  金额: 98150.000000

季度: 2.017040e+05  ,  金额: 196300.000000

季度: 2.017050e+05  ,  金额: 667420.000000

季度: 2.017060e+05  ,  金额: 137410.000000

季度: 2.017080e+05  ,  金额: 98150.000000

季度: 2.017100e+05  ,  金额: 88335.000000

季度: 2.017120e+05  ,  金额: 193887.300000

季度: 2.018010e+05  ,  金额: 147225.000000

季度: 2.018040e+05  ,  金额: 159452.700000

季度: 2.018050e+05  ,  金额: 981500.000000

季度: 2.018060e+05  ,  金额: 50000.000000

季度: 2.018110e+05  ,  金额: 760129.550000

季度: 2.019060e+05  ,  金额: 802563.440000

总流水交易额为: 4567007.990000, 总流水月平均交易额为: 304467.199333
