公司ID: E38


季度: 2.017050e+05  ,  金额: 1804669.000000

季度: 2.017060e+05  ,  金额: 459183.000000

季度: 2.017070e+05  ,  金额: 488964.000000

季度: 2.017090e+05  ,  金额: 1576295.000000

季度: 2.017100e+05  ,  金额: 1800000.000000

季度: 2.017110e+05  ,  金额: 1000000.000000

季度: 2.017120e+05  ,  金额: 3000000.000000

季度: 2.018010e+05  ,  金额: 2000000.000000

季度: 2.018020e+05  ,  金额: 3000000.000000

季度: 2.018040e+05  ,  金额: 3872006.000000

季度: 2.018080e+05  ,  金额: 3570381.000000

季度: 2.018090e+05  ,  金额: 5661406.000000

季度: 2.018100e+05  ,  金额: 568089.510000

季度: 2.018110e+05  ,  金额: 366048.030000

季度: 2.018120e+05  ,  金额: 223895.210000

季度: 2.019010e+05  ,  金额: 4909623.120000

季度: 2.019020e+05  ,  金额: 1070000.010000

季度: 2.019030e+05  ,  金额: 201707.400000

季度: 2.019050e+05  ,  金额: 186915.560000

季度: 2.019080e+05  ,  金额: 8673165.390000

季度: 2.019090e+05  ,  金额: 1003743.370000

季度: 2.019100e+05  ,  金额: 1126478.740000

季度: 2.019110e+05  ,  金额: 166561.410000

季度: 2.019120e+05  ,  金额: 3384267.190000

总流水交易额为: 50113398.940000, 总流水月平均交易额为: 2088058.289167
