公司ID: E66


季度: 2.017120e+05  ,  金额: 16804.000000

季度: 2.018010e+05  ,  金额: 27556.400000

季度: 2.018020e+05  ,  金额: 581.000000

季度: 2.018030e+05  ,  金额: 19161.780000

季度: 2.018040e+05  ,  金额: 32432.400000

季度: 2.018050e+05  ,  金额: 12626.500000

季度: 2.018060e+05  ,  金额: 24875.820000

季度: 2.018070e+05  ,  金额: 26235.840000

季度: 2.018080e+05  ,  金额: 32895.100000

季度: 2.018090e+05  ,  金额: 53664.510000

季度: 2.018100e+05  ,  金额: 11997.300000

季度: 2.018110e+05  ,  金额: 46425.500000

季度: 2.018120e+05  ,  金额: 84538.300000

季度: 2.019010e+05  ,  金额: 56203.700000

季度: 2.019020e+05  ,  金额: 34410.400000

季度: 2.019030e+05  ,  金额: 69304.320000

季度: 2.019040e+05  ,  金额: 272915.570000

季度: 2.019050e+05  ,  金额: 644376.120000

季度: 2.019060e+05  ,  金额: 546020.220000

季度: 2.019070e+05  ,  金额: 372171.830000

季度: 2.019080e+05  ,  金额: 406994.670000

季度: 2.019090e+05  ,  金额: 365102.290000

季度: 2.019100e+05  ,  金额: 588073.180000

季度: 2.019110e+05  ,  金额: 415940.770000

季度: 2.019120e+05  ,  金额: 418656.270000

季度: 2.020010e+05  ,  金额: 402326.910000

季度: 2.020020e+05  ,  金额: 47462.800000

总流水交易额为: 5029753.500000, 总流水月平均交易额为: 186287.166667
