公司ID: E14


季度: 2.017010e+05  ,  金额: 7472721.000000

季度: 2.017020e+05  ,  金额: 3066516.000000

季度: 2.017030e+05  ,  金额: 4382189.000000

季度: 2.017040e+05  ,  金额: 4071361.000000

季度: 2.017050e+05  ,  金额: 3834310.000000

季度: 2.017060e+05  ,  金额: 5502278.000000

季度: 2.017070e+05  ,  金额: 5850874.000000

季度: 2.017080e+05  ,  金额: 7517328.000000

季度: 2.017090e+05  ,  金额: 7233261.000000

季度: 2.017100e+05  ,  金额: 5076384.000000

季度: 2.017110e+05  ,  金额: 13216885.500000

季度: 2.017120e+05  ,  金额: 10940598.000000

季度: 2.018010e+05  ,  金额: 9035848.800000

季度: 2.018020e+05  ,  金额: 3280711.000000

季度: 2.018030e+05  ,  金额: 5270214.670000

季度: 2.018040e+05  ,  金额: 5961470.960000

季度: 2.018050e+05  ,  金额: 6189340.160000

季度: 2.018060e+05  ,  金额: 6201245.350000

季度: 2.018070e+05  ,  金额: 5677574.390000

季度: 2.018080e+05  ,  金额: 6237009.630000

季度: 2.018090e+05  ,  金额: 6069549.000000

季度: 2.018100e+05  ,  金额: 7207010.690000

季度: 2.018110e+05  ,  金额: 9448631.530000

季度: 2.018120e+05  ,  金额: 13396543.620000

季度: 2.019010e+05  ,  金额: 6580853.000000

季度: 2.019020e+05  ,  金额: 3057916.000000

季度: 2.019030e+05  ,  金额: 7324849.000000

季度: 2.019040e+05  ,  金额: 11059295.660000

季度: 2.019050e+05  ,  金额: 4217019.750000

季度: 2.019060e+05  ,  金额: 4125177.000000

季度: 2.019070e+05  ,  金额: 6715673.440000

季度: 2.019080e+05  ,  金额: 6741068.080000

季度: 2.019090e+05  ,  金额: 7392708.730000

季度: 2.019100e+05  ,  金额: 8746846.720000

季度: 2.019110e+05  ,  金额: 8792049.690000

季度: 2.019120e+05  ,  金额: 4476285.000000

总流水交易额为: 241369597.370000, 总流水月平均交易额为: 6704711.038056
