公司ID: E81


季度: 2.017010e+05  ,  金额: 29322.000000

季度: 2.017020e+05  ,  金额: 89137.320000

季度: 2.017030e+05  ,  金额: 59980.100000

季度: 2.017040e+05  ,  金额: 50157.000000

季度: 2.017050e+05  ,  金额: 91438.200000

季度: 2.017060e+05  ,  金额: 91155.500000

季度: 2.017070e+05  ,  金额: 78012.940000

季度: 2.017080e+05  ,  金额: 82339.000000

季度: 2.017090e+05  ,  金额: 89741.400000

季度: 2.017100e+05  ,  金额: 220937.000000

季度: 2.017110e+05  ,  金额: 127445.200000

季度: 2.017120e+05  ,  金额: 111182.500000

季度: 2.018010e+05  ,  金额: 166245.600000

季度: 2.018020e+05  ,  金额: 32185.500000

季度: 2.018030e+05  ,  金额: 177537.000000

季度: 2.018040e+05  ,  金额: 185682.500000

季度: 2.018050e+05  ,  金额: 68446.600000

季度: 2.018060e+05  ,  金额: 35226.320000

季度: 2.018070e+05  ,  金额: 128238.920000

季度: 2.018080e+05  ,  金额: 82800.000000

季度: 2.018090e+05  ,  金额: 149792.800000

季度: 2.018100e+05  ,  金额: 120993.600000

季度: 2.018110e+05  ,  金额: 122841.700000

季度: 2.018120e+05  ,  金额: 157143.600000

季度: 2.019010e+05  ,  金额: 147599.110000

季度: 2.019020e+05  ,  金额: 53717.000000

季度: 2.019030e+05  ,  金额: 190996.500000

季度: 2.019040e+05  ,  金额: 67363.000000

季度: 2.019050e+05  ,  金额: 146384.600000

季度: 2.019060e+05  ,  金额: 68803.000000

季度: 2.019070e+05  ,  金额: 170662.010000

季度: 2.019080e+05  ,  金额: 83628.980000

季度: 2.019090e+05  ,  金额: 136953.920000

季度: 2.019100e+05  ,  金额: 86701.000000

季度: 2.019110e+05  ,  金额: 88550.240000

季度: 2.019120e+05  ,  金额: 87651.500000

季度: 2.020010e+05  ,  金额: 33193.000000

总流水交易额为: 3910186.160000, 总流水月平均交易额为: 105680.707027
