公司ID: E25


季度: 2.017040e+05  ,  金额: 33122.500000

季度: 2.017050e+05  ,  金额: 414475.000000

季度: 2.017060e+05  ,  金额: 919675.000000

季度: 2.017070e+05  ,  金额: 296076.500000

季度: 2.017080e+05  ,  金额: 575305.000000

季度: 2.017090e+05  ,  金额: 50770.000000

季度: 2.017100e+05  ,  金额: 1517980.000000

季度: 2.017110e+05  ,  金额: 569094.900000

季度: 2.017120e+05  ,  金额: 2321950.000000

季度: 2.018010e+05  ,  金额: 2524310.000000

季度: 2.018020e+05  ,  金额: 677820.000000

季度: 2.018030e+05  ,  金额: 902350.000000

季度: 2.018040e+05  ,  金额: 1170770.000000

季度: 2.018050e+05  ,  金额: 1367894.100000

季度: 2.018060e+05  ,  金额: 392524.300000

季度: 2.018070e+05  ,  金额: 329255.000000

季度: 2.018080e+05  ,  金额: 327808.640000

季度: 2.018090e+05  ,  金额: 5409010.000000

季度: 2.018100e+05  ,  金额: 2296784.300000

季度: 2.018110e+05  ,  金额: 570035.000000

季度: 2.018120e+05  ,  金额: 6422680.000000

季度: 2.019010e+05  ,  金额: 775305.000000

季度: 2.019020e+05  ,  金额: 405897.960000

季度: 2.019030e+05  ,  金额: 364045.000000

季度: 2.019040e+05  ,  金额: 884180.500000

季度: 2.019050e+05  ,  金额: 713450.000000

季度: 2.019060e+05  ,  金额: 4181025.000000

季度: 2.019070e+05  ,  金额: 2482885.000000

季度: 2.019080e+05  ,  金额: 975075.000000

季度: 2.019090e+05  ,  金额: 546350.000000

季度: 2.019100e+05  ,  金额: 596230.100000

季度: 2.019110e+05  ,  金额: 554435.140000

季度: 2.019120e+05  ,  金额: 1118524.090000

季度: 2.020010e+05  ,  金额: 1146703.000000

总流水交易额为: 43833796.030000, 总流水月平均交易额为: 1289229.295000
