企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态 
E55,50141340,2017-1-5,A13935,311.32,18.68,330,有效发票 
E55,3644973,2017-1-9,A08366,2051.28,348.72,2400,有效发票 
E55,1805938,2017-1-10,A09221,923.07,156.93,1080,有效发票 
E55,596299,2017-1-20,A04477,3242.65,551.25,3793.9,有效发票 
E55,5278817,2017-2-6,A13224,6161.12,184.83,6345.95,有效发票 
E55,4842518,2017-2-24,A04477,3293.85,559.96,3853.81,有效发票 
E55,5278821,2017-3-2,A13224,3932.04,117.96,4050,有效发票 
E55,389077,2017-3-6,A07268,83305.49,4165.27,87470.76,有效发票 
E55,214842,2017-3-7,A07253,47281.55,1418.45,48700,有效发票 
E55,5519016,2017-3-7,A10027,3458.48,207.5,3665.98,有效发票 
E55,5519017,2017-3-7,A10027,3198.57,191.91,3390.48,有效发票 
E55,5658724,2017-3-13,A08892,2256.89,383.67,2640.56,有效发票 
E55,3254397,2017-3-22,A01211,660.38,39.62,700,有效发票 
E55,4842366,2017-3-24,A04477,3001.79,510.3,3512.09,有效发票 
E55,5278825,2017-4-5,A13224,5129.03,153.87,5282.9,有效发票 
E55,6364287,2017-4-13,A09221,-923.07,-156.93,-1080,有效发票 
E55,11823931,2017-4-27,A04477,2566.17,436.25,3002.42,有效发票 
E55,5278828,2017-5-4,A13224,3558.25,106.75,3665,有效发票 
E55,11687038,2017-5-9,A09250,2188.68,131.32,2320,有效发票 
E55,8032757,2017-5-15,A08892,1982.03,336.94,2318.97,有效发票 
E55,718545,2017-5-23,A13732,500,15,515,有效发票 
E55,11959421,2017-5-24,A04477,1615.18,274.58,1889.76,有效发票 
E55,5278831,2017-6-1,A13224,4350.1,130.5,4480.6,有效发票 
E55,660523,2017-6-2,A08940,83325.47,4999.53,88325,有效发票 
E55,660524,2017-6-2,A08940,83325.47,4999.53,88325,有效发票 
E55,5519076,2017-6-9,A10027,4029.03,241.74,4270.77,有效发票 
E55,5278833,2017-6-13,A13224,1810.65,54.32,1864.97,有效发票 
E55,1921386,2017-6-22,A04477,1654.61,281.28,1935.89,有效发票 
E55,4220384,2017-7-7,A08892,1380.61,234.7,1615.31,有效发票 
E55,2797361,2017-7-10,A09173,954.95,105.05,1060,有效发票 
E55,5519089,2017-7-11,A10027,2576.22,154.57,2730.79,有效发票 
E55,5519090,2017-7-11,A10027,3295.12,197.7,3492.82,有效发票 
E55,3972207,2017-7-21,A04477,1205.76,204.98,1410.74,有效发票 
E55,1598472,2017-7-21,A13732,509.71,15.29,525,有效发票 
E55,1979269,2017-8-1,A11893,3771.31,226.28,3997.59,有效发票 
E55,25941429,2017-8-22,A00356,752.57,0,752.57,有效发票 
E55,137840,2017-8-24,A11374,283.02,16.98,300,有效发票 
E55,9857710,2017-8-24,A11374,1301.89,78.11,1380,有效发票 
E55,9857711,2017-8-24,A11374,1509.43,90.57,1600,有效发票 
E55,3973675,2017-8-29,A04477,2040.9,346.95,2387.85,有效发票 
E55,7416438,2017-9-4,A07242,1417.27,240.94,1658.21,有效发票 
E55,25400745,2017-9-13,A00356,876.34,0,876.34,有效发票 
E55,4772423,2017-9-15,A09173,1023.42,112.58,1136,有效发票 
E55,1506455,2017-9-22,A04477,1483.64,252.22,1735.86,有效发票 
E55,7416524,2017-10-9,A07242,1368.6,232.67,1601.27,作废发票 
E55,7416546,2017-10-13,A07242,1368.6,232.67,1601.27,有效发票 
E55,7570887,2017-11-1,A07242,152.7,25.96,178.66,有效发票 
E55,10008849,2017-11-6,A10027,2310.73,138.64,2449.37,有效发票 
E55,10008850,2017-11-6,A10027,2192,131.52,2323.52,有效发票 
E55,54353804,2017-11-15,A00356,787.94,0,787.94,有效发票 
E55,54421974,2017-11-15,A00356,1454.18,0,1454.18,有效发票 
E55,54421993,2017-11-15,A00356,778.3,0,778.3,有效发票 
E55,2959284,2017-11-29,A04477,59.68,10.14,69.82,有效发票 
E55,7570945,2017-12-1,A07242,780.97,132.77,913.74,有效发票 
E55,2886044,2017-12-8,A03158,35849.06,2150.94,38000,有效发票 
E55,936878,2017-12-11,A07253,384854.37,11545.63,396400,有效发票 
E55,1226032,2017-12-12,A02766,2240.54,246.46,2487,有效发票 
E55,2961941,2017-12-14,A08940,83325.47,4999.53,88325,有效发票 
