企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态 
E8,4224065,2017-1-3,A06634,18867.92,1132.08,20000,有效发票 
E8,463589,2017-1-3,A07262,140776.7,4223.3,145000,有效发票 
E8,6495,2017-1-3,A09435,3495.15,104.85,3600,有效发票 
E8,1614201,2017-1-4,A03365,4716.98,283.02,5000,有效发票 
E8,1614202,2017-1-4,A03365,3773.58,226.42,4000,有效发票 
E8,31978797,2017-1-5,A00793,1427.36,85.64,1513,有效发票 
E8,3340278,2017-1-5,A00793,2051.89,123.11,2175,有效发票 
E8,3463017,2017-1-5,A00856,150.94,9.06,160,有效发票 
E8,3462686,2017-1-5,A00856,2150.94,129.06,2280,有效发票 
E8,4984364,2017-1-5,A07660,9704.85,291.15,9996,有效发票 
E8,4984365,2017-1-5,A07660,9693.2,290.8,9984,有效发票 
E8,4984366,2017-1-5,A07660,9708.73,291.27,10000,有效发票 
E8,1413121,2017-1-6,A07242,36905.66,2214.34,39120,有效发票 
E8,1413122,2017-1-6,A07242,10188.68,611.32,10800,有效发票 
E8,3834779,2017-1-9,A02273,15988.57,11.43,16000,有效发票 
E8,3834780,2017-1-9,A02273,9593.14,6.86,9600,有效发票 
E8,3834781,2017-1-9,A02273,19985.71,14.29,20000,有效发票 
E8,1644306,2017-1-9,A02435,83760.68,14239.32,98000,有效发票 
E8,4862789,2017-1-10,A00335,2119.81,127.19,2247,有效发票 
E8,3697725,2017-1-10,A03310,16981.13,1018.87,18000,有效发票 
E8,3697726,2017-1-10,A03310,4245.28,254.72,4500,有效发票 
E8,3697727,2017-1-10,A03310,15566.04,933.96,16500,有效发票 
E8,3697728,2017-1-10,A03310,12735.85,764.15,13500,有效发票 
E8,7407015,2017-1-11,A02752,1061.54,180.46,1242,有效发票 
E8,104268,2017-1-11,A13126,12135.92,364.08,12500,有效发票 
E8,10774,2017-1-11,A13655,21359.22,640.78,22000,有效发票 
E8,31229269,2017-1-12,A03310,1042.74,177.26,1220,有效发票 
