企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态 
E39,233198,2017-6-17,A06560,234.91,14.09,249,作废发票 
E39,233199,2017-6-17,A06560,571.7,34.3,606,有效发票 
E39,12689519,2017-7-16,A06821,887.18,150.82,1038,有效发票 
E39,15463205,2017-7-26,A06920,503.77,30.23,534,有效发票 
E39,16281816,2017-7-27,A03325,345.28,20.72,366,有效发票 
E39,18248669,2017-8-25,A08291,102.91,3.09,106,有效发票 
E39,18524858,2017-8-31,A13197,166.02,4.98,171,有效发票 
E39,18658951,2017-10-4,A13197,338.83,10.17,349,有效发票 
E39,15032699,2017-10-29,A08288,241.75,7.25,249,有效发票 
E39,27223172,2017-11-26,A06976,2711.11,460.89,3172,有效发票 
E39,25176953,2017-11-28,A05430,256.41,43.59,300,有效发票 
E39,21938729,2017-11-28,A09196,1253.77,75.23,1329,有效发票 
E39,25178211,2017-12-5,A05430,128.21,21.79,150,有效发票 
E39,29247511,2017-12-7,A09196,608.49,36.51,645,有效发票 
E39,29306712,2017-12-8,A06976,3479.49,591.51,4071,有效发票 
E39,17051615,2017-12-12,A06959,85.47,14.53,100,有效发票 
E39,27395794,2017-12-12,A08751,334.95,10.05,345,有效发票 
E39,29247593,2017-12-12,A09196,421.7,25.3,447,有效发票 
E39,23856390,2017-12-14,A08893,1310.68,39.32,1350,有效发票 
E39,27369145,2017-12-18,A09936,543.69,16.31,560,有效发票 
E39,27321900,2017-12-22,A08750,559.22,16.78,576,有效发票 
E39,29247807,2017-12-22,A09196,1151.89,69.11,1221,有效发票 
E39,16712238,2017-12-24,A07219,324.79,55.21,380,有效发票 
E39,25182159,2017-12-25,A05430,170.94,29.06,200,有效发票 
E39,29247847,2017-12-25,A09196,649.06,38.94,688,有效发票 
E39,31328652,2017-12-25,A13197,224.27,6.73,231,有效发票 
E39,29247884,2017-12-27,A09196,1310.38,78.62,1389,有效发票 
E39,31874118,2018-1-3,A05430,128.21,21.79,150,有效发票 
E39,29248053,2018-1-5,A09196,2102.83,126.17,2229,有效发票 
E39,31875043,2018-1-8,A05430,170.94,29.06,200,有效发票 
E39,29248101,2018-1-8,A09196,563.21,33.79,597,有效发票 
E39,43486063,2018-1-10,A09260,525.47,31.53,557,有效发票 
E39,43486286,2018-1-15,A09260,399.06,23.94,423,有效发票 
E39,3545429,2018-1-16,A05891,315.38,53.62,369,有效发票 
E39,43486608,2018-1-23,A09260,617.92,37.08,655,有效发票 
E39,43486725,2018-1-26,A09260,603.77,36.23,640,有效发票 
E39,30624046,2018-2-2,A00883,217.95,37.05,255,有效发票 
E39,16725236,2018-2-2,A07219,317.95,54.05,372,有效发票 
E39,43487072,2018-2-4,A09260,1328.3,79.7,1408,有效发票 
E39,31881127,2018-2-9,A05430,247.86,42.14,290,有效发票 
E39,46142620,2018-2-9,A05430,549.51,16.49,566,有效发票 
E39,3919268,2018-2-18,A05891,273.5,46.5,320,有效发票 
E39,49021024,2018-2-23,A13197,304.85,9.15,314,有效发票 
E39,47336956,2018-2-25,A09936,873.79,26.21,900,有效发票 
E39,47336957,2018-2-25,A09936,128.16,3.84,132,有效发票 
E39,31806738,2018-2-26,A09196,1763.21,105.79,1869,有效发票 
E39,2774013,2018-2-27,A06554,450.94,27.06,478,有效发票 
E39,48249849,2018-2-27,A07994,2912.62,87.38,3000,有效发票 
E39,30628280,2018-3-2,A00883,290.6,49.4,340,有效发票 
E39,47024875,2018-3-4,A06262,578.64,17.36,596,有效发票 
E39,48410801,2018-3-4,A08750,307.77,9.23,317,作废发票 
E39,48410802,2018-3-4,A08750,307.77,9.23,317,作废发票 
E39,48410803,2018-3-4,A08750,307.77,9.23,317,有效发票 
E39,45596710,2018-3-6,A02107,475.47,28.53,504,有效发票 
E39,19990359,2018-3-7,A00882,217.95,37.05,255,有效发票 
E39,87476213,2018-3-8,A00370,209.4,35.6,245,有效发票 
E39,2774344,2018-3-11,A06554,224.53,13.47,238,有效发票 
E39,2774488,2018-3-16,A06554,243.4,14.6,258,有效发票 
E39,43194394,2018-3-16,A09196,3645.28,218.72,3864,有效发票 
E39,40586018,2018-3-20,A02282,314.52,53.48,368,有效发票 
