公司ID: E45


季度: 2.017080e+05  ,  金额: 480.000000

季度: 2.017090e+05  ,  金额: 3099.000000

季度: 2.017100e+05  ,  金额: 3660.000000

季度: 2.017110e+05  ,  金额: 361420.000000

季度: 2.017120e+05  ,  金额: 1152243.140000

季度: 2.018010e+05  ,  金额: 102847.000000

季度: 2.018020e+05  ,  金额: 203673.000000

季度: 2.018030e+05  ,  金额: 131392.010000

季度: 2.018040e+05  ,  金额: 334153.070000

季度: 2.018050e+05  ,  金额: 522286.800000

季度: 2.018060e+05  ,  金额: 406141.150000

季度: 2.018070e+05  ,  金额: 456676.200000

季度: 2.018080e+05  ,  金额: 244505.000000

季度: 2.018090e+05  ,  金额: 266391.000000

季度: 2.018100e+05  ,  金额: 95016.000000

季度: 2.018110e+05  ,  金额: 75904.800000

季度: 2.018120e+05  ,  金额: 748996.740000

季度: 2.019010e+05  ,  金额: 9123.950000

季度: 2.019020e+05  ,  金额: 7462.000000

季度: 2.019030e+05  ,  金额: 2368860.950000

季度: 2.019040e+05  ,  金额: 2080852.660000

季度: 2.019050e+05  ,  金额: 1700789.550000

季度: 2.019060e+05  ,  金额: 2590826.690000

季度: 2.019070e+05  ,  金额: 3282240.780000

季度: 2.019080e+05  ,  金额: 2483773.600000

季度: 2.019090e+05  ,  金额: 1128644.220000

季度: 2.019100e+05  ,  金额: 2141739.730000

季度: 2.019110e+05  ,  金额: 4013002.700000

季度: 2.019120e+05  ,  金额: 2087.460000

总流水交易额为: 26918289.200000, 总流水月平均交易额为: 928216.868966
