公司ID: E44


季度: 2.016120e+05  ,  金额: 606794.580000

季度: 2.017010e+05  ,  金额: 824106.600000

季度: 2.017020e+05  ,  金额: 285718.500000

季度: 2.017030e+05  ,  金额: 274966.000000

季度: 2.017040e+05  ,  金额: 716877.340000

季度: 2.017050e+05  ,  金额: 161334.220000

季度: 2.017060e+05  ,  金额: 390836.600000

季度: 2.017070e+05  ,  金额: 371433.500000

季度: 2.017080e+05  ,  金额: 298387.000000

季度: 2.017090e+05  ,  金额: 262941.000000

季度: 2.017100e+05  ,  金额: 315309.510000

季度: 2.017110e+05  ,  金额: 897521.200000

季度: 2.017120e+05  ,  金额: 926229.030000

季度: 2.018010e+05  ,  金额: 1520232.000000

季度: 2.018020e+05  ,  金额: 461442.000000

季度: 2.018030e+05  ,  金额: 1110603.000000

季度: 2.018040e+05  ,  金额: 1050014.000000

季度: 2.018050e+05  ,  金额: 931167.000000

季度: 2.018060e+05  ,  金额: 537374.500000

季度: 2.018070e+05  ,  金额: 435645.500000

季度: 2.018080e+05  ,  金额: 481891.500000

季度: 2.018090e+05  ,  金额: 378781.000000

季度: 2.018100e+05  ,  金额: 2038357.900000

季度: 2.018110e+05  ,  金额: 1260715.370000

季度: 2.018120e+05  ,  金额: 898400.650000

季度: 2.019010e+05  ,  金额: 2295666.000000

季度: 2.019020e+05  ,  金额: 2473150.790000

季度: 2.019030e+05  ,  金额: 1189335.530000

季度: 2.019040e+05  ,  金额: 678875.720000

季度: 2.019050e+05  ,  金额: 330659.480000

季度: 2.019060e+05  ,  金额: 1475505.040000

季度: 2.019070e+05  ,  金额: 550281.200000

季度: 2.019080e+05  ,  金额: 694750.020000

季度: 2.019090e+05  ,  金额: 961645.670000

季度: 2.019100e+05  ,  金额: 1321171.910000

季度: 2.019110e+05  ,  金额: 1672083.830000

季度: 2.019120e+05  ,  金额: 3301426.610000

总流水交易额为: 34381631.300000, 总流水月平均交易额为: 929233.278378
