公司ID: E53


季度: 2.017050e+05  ,  金额: 455000.000000

季度: 2.017060e+05  ,  金额: 458180.000000

季度: 2.017070e+05  ,  金额: 531800.000000

季度: 2.017080e+05  ,  金额: 661210.000000

季度: 2.017090e+05  ,  金额: 609240.000000

季度: 2.017100e+05  ,  金额: 175200.000000

季度: 2.017110e+05  ,  金额: 2829450.200000

季度: 2.017120e+05  ,  金额: 1093781.000000

季度: 2.018010e+05  ,  金额: 868357.400000

季度: 2.018020e+05  ,  金额: 455465.000000

季度: 2.018040e+05  ,  金额: 170822.000000

季度: 2.018050e+05  ,  金额: 616149.920000

季度: 2.018060e+05  ,  金额: 438070.000000

季度: 2.018070e+05  ,  金额: 750400.000000

季度: 2.018080e+05  ,  金额: 2574186.000000

季度: 2.018090e+05  ,  金额: 2179460.300000

季度: 2.018100e+05  ,  金额: 601660.000000

季度: 2.018110e+05  ,  金额: 767292.640000

季度: 2.018120e+05  ,  金额: 796809.000000

季度: 2.019010e+05  ,  金额: 1200200.000000

季度: 2.019020e+05  ,  金额: 965483.330000

季度: 2.019030e+05  ,  金额: 997496.330000

季度: 2.019040e+05  ,  金额: 965083.330000

季度: 2.019050e+05  ,  金额: 1532383.330000

季度: 2.019060e+05  ,  金额: 1056917.330000

季度: 2.019070e+05  ,  金额: 1615083.330000

季度: 2.019080e+05  ,  金额: 1858182.330000

季度: 2.019090e+05  ,  金额: 2031083.330000

季度: 2.019100e+05  ,  金额: 1828810.030000

季度: 2.019110e+05  ,  金额: 1405340.000000

季度: 2.019120e+05  ,  金额: 2454710.820000

总流水交易额为: 34943306.950000, 总流水月平均交易额为: 1127203.450000
