公司ID: E31


季度: 2.017010e+05  ,  金额: 443714.180000

季度: 2.017020e+05  ,  金额: 429661.960000

季度: 2.017030e+05  ,  金额: 150198.400000

季度: 2.017040e+05  ,  金额: 439388.500000

季度: 2.017050e+05  ,  金额: 330384.900000

季度: 2.017060e+05  ,  金额: 240923.570000

季度: 2.017070e+05  ,  金额: 12023.000000

季度: 2.017080e+05  ,  金额: 290338.120000

季度: 2.017090e+05  ,  金额: 2910.000000

季度: 2.017100e+05  ,  金额: 71909.000000

季度: 2.017110e+05  ,  金额: 231256.900000

季度: 2.017120e+05  ,  金额: 262496.000000

季度: 2.018010e+05  ,  金额: 11347.000000

季度: 2.018020e+05  ,  金额: 21180.000000

季度: 2.018030e+05  ,  金额: 249000.980000

季度: 2.018040e+05  ,  金额: 24006.000000

季度: 2.018050e+05  ,  金额: 92043.780000

季度: 2.018060e+05  ,  金额: 51812.270000

季度: 2.018070e+05  ,  金额: 35673.000000

季度: 2.018080e+05  ,  金额: 59038.000000

季度: 2.018090e+05  ,  金额: 17919.000000

季度: 2.018100e+05  ,  金额: 68586.000000

季度: 2.018110e+05  ,  金额: 116075.400000

季度: 2.018120e+05  ,  金额: 62642.000000

季度: 2.019010e+05  ,  金额: 54319.140000

季度: 2.019020e+05  ,  金额: 10715.000000

季度: 2.019030e+05  ,  金额: 237789.050000

季度: 2.019040e+05  ,  金额: 3164.120000

季度: 2.019050e+05  ,  金额: 56725.000000

季度: 2.019060e+05  ,  金额: 161126.700000

季度: 2.019070e+05  ,  金额: 26259.000000

季度: 2.019080e+05  ,  金额: 97720.560000

季度: 2.019090e+05  ,  金额: 91541.280000

季度: 2.019100e+05  ,  金额: 6015.000000

季度: 2.019110e+05  ,  金额: 262164.710000

季度: 2.019120e+05  ,  金额: 188172.000000

季度: 2.020010e+05  ,  金额: 148968.060000

总流水交易额为: 5059207.580000, 总流水月平均交易额为: 136735.340000
