公司ID: E118


季度: 2.017070e+05  ,  金额: 1200.000000

季度: 2.018070e+05  ,  金额: 280.000000

季度: 2.019030e+05  ,  金额: 14419.000000

季度: 2.019040e+05  ,  金额: 1596.000000

季度: 2.019050e+05  ,  金额: 34677.000000

季度: 2.019060e+05  ,  金额: 2247.000000

季度: 2.019070e+05  ,  金额: 1032.000000

季度: 2.019080e+05  ,  金额: 2015.790000

季度: 2.019090e+05  ,  金额: 1819.000000

季度: 2.019100e+05  ,  金额: 1610.000000

季度: 2.019110e+05  ,  金额: 1032.000000

季度: 2.019120e+05  ,  金额: 2385.000000

季度: 2.020010e+05  ,  金额: 3120.000000

季度: 2.020020e+05  ,  金额: 280.000000

总流水交易额为: 67712.790000, 总流水月平均交易额为: 4836.627857
