公司ID: E51


季度: 2.016120e+05  ,  金额: 101099.270000

季度: 2.017010e+05  ,  金额: 217761.520000

季度: 2.017020e+05  ,  金额: 133129.910000

季度: 2.017030e+05  ,  金额: 56043.860000

季度: 2.017040e+05  ,  金额: 743857.700000

季度: 2.017050e+05  ,  金额: 147398.450000

季度: 2.017060e+05  ,  金额: 192702.860000

季度: 2.017070e+05  ,  金额: 171682.670000

季度: 2.017080e+05  ,  金额: 118242.880000

季度: 2.017090e+05  ,  金额: 256386.940000

季度: 2.017100e+05  ,  金额: 253328.740000

季度: 2.017110e+05  ,  金额: 518467.130000

季度: 2.017120e+05  ,  金额: 529121.010000

季度: 2.018010e+05  ,  金额: 674983.650000

季度: 2.018020e+05  ,  金额: 255585.010000

季度: 2.018030e+05  ,  金额: 389388.480000

季度: 2.018040e+05  ,  金额: 718839.440000

季度: 2.018050e+05  ,  金额: 691593.460000

季度: 2.018060e+05  ,  金额: 558562.960000

季度: 2.018070e+05  ,  金额: 376915.370000

季度: 2.018080e+05  ,  金额: 878009.040000

季度: 2.018090e+05  ,  金额: 831032.070000

季度: 2.018100e+05  ,  金额: 1215985.550000

季度: 2.018110e+05  ,  金额: 953950.380000

季度: 2.018120e+05  ,  金额: 978024.810000

季度: 2.019010e+05  ,  金额: 999068.140000

季度: 2.019020e+05  ,  金额: 603099.180000

季度: 2.019030e+05  ,  金额: 751590.290000

季度: 2.019040e+05  ,  金额: 1970010.470000

季度: 2.019050e+05  ,  金额: 1257206.390000

季度: 2.019060e+05  ,  金额: 573557.400000

季度: 2.019070e+05  ,  金额: 1067222.880000

季度: 2.019080e+05  ,  金额: 222662.000000

季度: 2.019090e+05  ,  金额: 595540.000000

季度: 2.019100e+05  ,  金额: 106958.670000

季度: 2.019110e+05  ,  金额: 1958849.450000

季度: 2.019120e+05  ,  金额: 491233.870000

总流水交易额为: 22559091.900000, 总流水月平均交易额为: 609705.186486
