公司ID: E13


季度: 2.017010e+05  ,  金额: 2000221.200000

季度: 2.017020e+05  ,  金额: 3576704.390000

季度: 2.017030e+05  ,  金额: 2319308.130000

季度: 2.017040e+05  ,  金额: 1863691.680000

季度: 2.017050e+05  ,  金额: 3303007.470000

季度: 2.017060e+05  ,  金额: 3773837.590000

季度: 2.017070e+05  ,  金额: 4205554.850000

季度: 2.017080e+05  ,  金额: 4609942.010000

季度: 2.017090e+05  ,  金额: 2897320.920000

季度: 2.017100e+05  ,  金额: 1901362.100000

季度: 2.017110e+05  ,  金额: 4615374.600000

季度: 2.017120e+05  ,  金额: 4117807.620000

季度: 2.018010e+05  ,  金额: 2819312.010000

季度: 2.018020e+05  ,  金额: 2545848.600000

季度: 2.018030e+05  ,  金额: 1798627.380000

季度: 2.018040e+05  ,  金额: 3570575.040000

季度: 2.018050e+05  ,  金额: 1760884.060000

季度: 2.018060e+05  ,  金额: 2209134.110000

季度: 2.018070e+05  ,  金额: 1473392.120000

季度: 2.018080e+05  ,  金额: 3019844.440000

季度: 2.018090e+05  ,  金额: 2896078.500000

季度: 2.018100e+05  ,  金额: 2952701.270000

季度: 2.018110e+05  ,  金额: 2050449.870000

季度: 2.018120e+05  ,  金额: 4787163.590000

季度: 2.019010e+05  ,  金额: 4214857.890000

季度: 2.019020e+05  ,  金额: 2422100.690000

季度: 2.019030e+05  ,  金额: 1442668.490000

季度: 2.019040e+05  ,  金额: 3543510.630000

季度: 2.019050e+05  ,  金额: 2208301.990000

季度: 2.019060e+05  ,  金额: 4286330.870000

季度: 2.019070e+05  ,  金额: 2030510.770000

季度: 2.019080e+05  ,  金额: 1148020.030000

季度: 2.019090e+05  ,  金额: 1959051.960000

季度: 2.019100e+05  ,  金额: 3475420.430000

季度: 2.019110e+05  ,  金额: 1532877.990000

季度: 2.019120e+05  ,  金额: 2098878.140000

季度: 2.020010e+05  ,  金额: 1793275.850000

季度: 2.020020e+05  ,  金额: 404553.690000

总流水交易额为: 103628502.970000, 总流水月平均交易额为: 2727065.867632
