公司ID: E103


季度: 2.017070e+05  ,  金额: 170.000000

季度: 2.017080e+05  ,  金额: 1073.000000

季度: 2.017110e+05  ,  金额: 19548.000000

季度: 2.018010e+05  ,  金额: 3304.000000

季度: 2.018020e+05  ,  金额: 620.000000

季度: 2.018030e+05  ,  金额: 18395.000000

季度: 2.018040e+05  ,  金额: 5796.000000

季度: 2.018050e+05  ,  金额: 165.000000

季度: 2.018060e+05  ,  金额: 1042.000000

季度: 2.018070e+05  ,  金额: 36392.000000

季度: 2.018080e+05  ,  金额: 2321.000000

季度: 2.018100e+05  ,  金额: 21916.500000

季度: 2.018110e+05  ,  金额: 13387.950000

季度: 2.018120e+05  ,  金额: 23065.000000

季度: 2.019010e+05  ,  金额: 45182.000000

季度: 2.019020e+05  ,  金额: 2099.000000

季度: 2.019030e+05  ,  金额: 1408.000000

季度: 2.019040e+05  ,  金额: 12855.520000

季度: 2.019050e+05  ,  金额: 5806.900000

季度: 2.019060e+05  ,  金额: 21012.090000

季度: 2.019070e+05  ,  金额: 86277.000000

季度: 2.019080e+05  ,  金额: 11249.930000

季度: 2.019090e+05  ,  金额: 16700.980000

季度: 2.019100e+05  ,  金额: 12281.000000

季度: 2.019110e+05  ,  金额: 1666.000000

季度: 2.019120e+05  ,  金额: 300951.700000

季度: 2.020010e+05  ,  金额: 73475.040000

季度: 2.020020e+05  ,  金额: 105.000000

总流水交易额为: 738265.610000, 总流水月平均交易额为: 26366.628929
