公司ID: E43


季度: 2.017120e+05  ,  金额: 21556.000000

季度: 2.018010e+05  ,  金额: 57250.000000

季度: 2.018030e+05  ,  金额: 448338.800000

季度: 2.018070e+05  ,  金额: 76080.000000

季度: 2.018080e+05  ,  金额: 1100000.000000

季度: 2.018100e+05  ,  金额: 208242.500000

季度: 2.018110e+05  ,  金额: 66825.450000

季度: 2.019030e+05  ,  金额: 1745920.000000

季度: 2.019040e+05  ,  金额: 80350.000000

季度: 2.019050e+05  ,  金额: 32400.000000

季度: 2.019060e+05  ,  金额: 0.000000

季度: 2.019070e+05  ,  金额: 5405.000000

季度: 2.019090e+05  ,  金额: 40659.000000

季度: 2.019100e+05  ,  金额: 13503.000000

总流水交易额为: 3896529.750000, 总流水月平均交易额为: 278323.553571
