公司ID: E6


季度: 2.016120e+05  ,  金额: 2182269.360000

季度: 2.017010e+05  ,  金额: 3250036.510000

季度: 2.017020e+05  ,  金额: 524388.710000

季度: 2.017030e+05  ,  金额: 1215595.400000

季度: 2.017040e+05  ,  金额: 1174290.560000

季度: 2.017050e+05  ,  金额: 10344012.790000

季度: 2.017060e+05  ,  金额: 1471005.350000

季度: 2.017070e+05  ,  金额: 2720654.940000

季度: 2.017080e+05  ,  金额: 2860836.390000

季度: 2.017090e+05  ,  金额: 3581882.310000

季度: 2.017100e+05  ,  金额: 1371452.150000

季度: 2.017110e+05  ,  金额: 4869576.200000

季度: 2.017120e+05  ,  金额: 12448392.390000

季度: 2.018010e+05  ,  金额: 7738087.330000

季度: 2.018020e+05  ,  金额: 14449670.680000

季度: 2.018030e+05  ,  金额: 15607836.710000

季度: 2.018040e+05  ,  金额: 5647867.900000

季度: 2.018050e+05  ,  金额: 8886668.140000

季度: 2.018060e+05  ,  金额: 11432552.000000

季度: 2.018070e+05  ,  金额: 6049040.930000

季度: 2.018080e+05  ,  金额: 28407870.720000

季度: 2.018090e+05  ,  金额: 10913957.360000

季度: 2.018100e+05  ,  金额: 7101347.980000

季度: 2.018110e+05  ,  金额: 6982608.370000

季度: 2.018120e+05  ,  金额: 16790064.210000

季度: 2.019010e+05  ,  金额: 12914524.130000

季度: 2.019020e+05  ,  金额: 6427605.350000

季度: 2.019030e+05  ,  金额: 13270121.850000

季度: 2.019040e+05  ,  金额: 15150243.350000

季度: 2.019050e+05  ,  金额: 10482376.890000

季度: 2.019060e+05  ,  金额: 10584609.290000

季度: 2.019070e+05  ,  金额: 7820287.220000

季度: 2.019080e+05  ,  金额: 9890920.770000

季度: 2.019090e+05  ,  金额: 6912355.190000

季度: 2.019100e+05  ,  金额: 8640821.600000

季度: 2.019110e+05  ,  金额: 7265541.900000

季度: 2.019120e+05  ,  金额: 23797190.570000

总流水交易额为: 321178563.500000, 总流水月平均交易额为: 8680501.716216
