公司ID: E59


季度: 2.017010e+05  ,  金额: 504314.520000

季度: 2.017020e+05  ,  金额: 103943.420000

季度: 2.017030e+05  ,  金额: 470827.280000

季度: 2.017040e+05  ,  金额: 565049.610000

季度: 2.017050e+05  ,  金额: 631653.950000

季度: 2.017060e+05  ,  金额: 348132.700000

季度: 2.017070e+05  ,  金额: 381206.330000

季度: 2.017080e+05  ,  金额: 833714.170000

季度: 2.017090e+05  ,  金额: 537963.900000

季度: 2.017100e+05  ,  金额: 332358.400000

季度: 2.017110e+05  ,  金额: 480577.950000

季度: 2.017120e+05  ,  金额: 424856.560000

季度: 2.018010e+05  ,  金额: 1087338.710000

季度: 2.018020e+05  ,  金额: 292548.750000

季度: 2.018030e+05  ,  金额: 541896.470000

季度: 2.018040e+05  ,  金额: 1073055.960000

季度: 2.018050e+05  ,  金额: 987728.630000

季度: 2.018060e+05  ,  金额: 460444.070000

季度: 2.018070e+05  ,  金额: 674638.480000

季度: 2.018080e+05  ,  金额: 588247.180000

季度: 2.018090e+05  ,  金额: 877070.980000

季度: 2.018100e+05  ,  金额: 959341.170000

季度: 2.018110e+05  ,  金额: 1063359.210000

季度: 2.018120e+05  ,  金额: 998235.160000

季度: 2.019010e+05  ,  金额: 1135900.580000

季度: 2.019020e+05  ,  金额: 403246.350000

季度: 2.019030e+05  ,  金额: 1081287.740000

季度: 2.019040e+05  ,  金额: 647393.820000

季度: 2.019050e+05  ,  金额: 277241.590000

季度: 2.019060e+05  ,  金额: 620589.160000

季度: 2.019070e+05  ,  金额: 198776.480000

季度: 2.019080e+05  ,  金额: 350713.390000

季度: 2.019090e+05  ,  金额: 26083.500000

季度: 2.019100e+05  ,  金额: 301918.370000

季度: 2.019110e+05  ,  金额: 260877.770000

季度: 2.019120e+05  ,  金额: 267678.550000

季度: 2.020010e+05  ,  金额: 395715.500000

总流水交易额为: 21185926.360000, 总流水月平均交易额为: 572592.604324
