公司ID: E91


季度: 2.017010e+05  ,  金额: 52100.000000

季度: 2.017020e+05  ,  金额: 37420.000000

季度: 2.017030e+05  ,  金额: 60423.000000

季度: 2.017040e+05  ,  金额: 60275.000000

季度: 2.017050e+05  ,  金额: 70850.000000

季度: 2.017060e+05  ,  金额: 73450.000000

季度: 2.017070e+05  ,  金额: 65050.000000

季度: 2.017080e+05  ,  金额: 105000.000000

季度: 2.017090e+05  ,  金额: 60725.000000

季度: 2.017100e+05  ,  金额: 45075.000000

季度: 2.017110e+05  ,  金额: 51318.000000

季度: 2.017120e+05  ,  金额: 57010.000000

季度: 2.018010e+05  ,  金额: 71820.000000

季度: 2.018020e+05  ,  金额: 42700.000000

季度: 2.018030e+05  ,  金额: 56810.000000

季度: 2.018040e+05  ,  金额: 73940.000000

季度: 2.018050e+05  ,  金额: 93600.000000

季度: 2.018060e+05  ,  金额: 66580.000000

季度: 2.018070e+05  ,  金额: 67940.000000

季度: 2.018080e+05  ,  金额: 60560.000000

季度: 2.018090e+05  ,  金额: 73420.000000

季度: 2.018100e+05  ,  金额: 50800.000000

季度: 2.018110e+05  ,  金额: 49280.000000

季度: 2.018120e+05  ,  金额: 55000.000000

季度: 2.019010e+05  ,  金额: 65660.000000

季度: 2.019020e+05  ,  金额: 53340.000000

季度: 2.019030e+05  ,  金额: 100960.000000

季度: 2.019040e+05  ,  金额: 100500.000000

季度: 2.019050e+05  ,  金额: 85100.000000

季度: 2.019060e+05  ,  金额: 72000.000000

季度: 2.019070e+05  ,  金额: 100500.000000

季度: 2.019080e+05  ,  金额: 81800.000000

季度: 2.019090e+05  ,  金额: 80724.000000

季度: 2.019100e+05  ,  金额: 86650.000000

季度: 2.019110e+05  ,  金额: 103400.000000

季度: 2.019120e+05  ,  金额: 112477.500000

季度: 2.020010e+05  ,  金额: 66708.000000

总流水交易额为: 2610965.500000, 总流水月平均交易额为: 70566.635135
