公司ID: E102


季度: 2.017010e+05  ,  金额: 14874.240000

季度: 2.017050e+05  ,  金额: 57644.800000

季度: 2.017080e+05  ,  金额: 13600.300000

季度: 2.017090e+05  ,  金额: 24650.000000

季度: 2.018010e+05  ,  金额: 30545.100000

季度: 2.018050e+05  ,  金额: 24305.300000

季度: 2.018070e+05  ,  金额: 30199.600000

季度: 2.018090e+05  ,  金额: 1601.500000

季度: 2.018100e+05  ,  金额: 4261.060000

季度: 2.018110e+05  ,  金额: 67878.240000

季度: 2.018120e+05  ,  金额: 3210.000000

季度: 2.019010e+05  ,  金额: 2698.520000

季度: 2.019020e+05  ,  金额: 10201.400000

季度: 2.019030e+05  ,  金额: 33108.680000

季度: 2.019040e+05  ,  金额: 7167.800000

季度: 2.019050e+05  ,  金额: 6250.100000

季度: 2.019060e+05  ,  金额: 19936.800000

季度: 2.019070e+05  ,  金额: 37542.900000

季度: 2.019080e+05  ,  金额: 15774.500000

季度: 2.019090e+05  ,  金额: 2215.000000

季度: 2.019120e+05  ,  金额: 39879.000000

季度: 2.020020e+05  ,  金额: 3005.100000

总流水交易额为: 450549.940000, 总流水月平均交易额为: 20479.542727
