公司ID: E65


季度: 2.017040e+05  ,  金额: 124769.000000

季度: 2.017050e+05  ,  金额: 95682.850000

季度: 2.017060e+05  ,  金额: 290164.410000

季度: 2.017070e+05  ,  金额: 22016.000000

季度: 2.017080e+05  ,  金额: 65181.100000

季度: 2.017090e+05  ,  金额: 364457.150000

季度: 2.017100e+05  ,  金额: 146764.740000

季度: 2.017110e+05  ,  金额: 252296.570000

季度: 2.017120e+05  ,  金额: 270423.030000

季度: 2.018010e+05  ,  金额: 443676.120000

季度: 2.018020e+05  ,  金额: 528063.600000

季度: 2.018030e+05  ,  金额: 245786.280000

季度: 2.018040e+05  ,  金额: 257714.960000

季度: 2.018050e+05  ,  金额: 36954.000000

季度: 2.018060e+05  ,  金额: 153741.990000

季度: 2.018070e+05  ,  金额: 228333.660000

季度: 2.018080e+05  ,  金额: 174816.330000

季度: 2.018090e+05  ,  金额: 238956.540000

季度: 2.018100e+05  ,  金额: 230985.460000

季度: 2.018110e+05  ,  金额: 256917.400000

季度: 2.018120e+05  ,  金额: 210743.880000

季度: 2.019010e+05  ,  金额: 312024.420000

季度: 2.019020e+05  ,  金额: 344676.320000

季度: 2.019030e+05  ,  金额: 153648.940000

季度: 2.019040e+05  ,  金额: 223635.490000

季度: 2.019050e+05  ,  金额: 163839.560000

季度: 2.019060e+05  ,  金额: 213418.010000

季度: 2.019070e+05  ,  金额: 325666.780000

季度: 2.019080e+05  ,  金额: 269968.040000

季度: 2.019090e+05  ,  金额: 290527.950000

季度: 2.019100e+05  ,  金额: 287210.220000

季度: 2.019110e+05  ,  金额: 193849.040000

季度: 2.019120e+05  ,  金额: 368491.520000

季度: 2.020010e+05  ,  金额: 217182.610000

季度: 2.020020e+05  ,  金额: 157972.730000

总流水交易额为: 8160556.700000, 总流水月平均交易额为: 233158.762857
