公司ID: E86


季度: 2.017080e+05  ,  金额: 89208.000000

季度: 2.017090e+05  ,  金额: 49200.000000

季度: 2.017100e+05  ,  金额: 480000.000000

季度: 2.018030e+05  ,  金额: 130606.000000

季度: 2.018040e+05  ,  金额: 765000.000000

季度: 2.018050e+05  ,  金额: 128395.280000

季度: 2.018060e+05  ,  金额: 14089.880000

季度: 2.018090e+05  ,  金额: 62352.000000

季度: 2.018110e+05  ,  金额: -480000.000000

季度: 2.019010e+05  ,  金额: 561400.000000

季度: 2.019050e+05  ,  金额: 1006600.000000

季度: 2.019120e+05  ,  金额: -765000.000000

总流水交易额为: 2041851.160000, 总流水月平均交易额为: 170154.263333
