公司ID: E49


季度: 2.017010e+05  ,  金额: 259585.200000

季度: 2.017020e+05  ,  金额: 2700.000000

季度: 2.017030e+05  ,  金额: 2629904.810000

季度: 2.017040e+05  ,  金额: 1203275.300000

季度: 2.017050e+05  ,  金额: 1010.000000

季度: 2.017070e+05  ,  金额: 1193500.000000

季度: 2.017080e+05  ,  金额: 12520.000000

季度: 2.017090e+05  ,  金额: 388095.000000

季度: 2.017100e+05  ,  金额: 3043098.000000

季度: 2.017120e+05  ,  金额: 1768000.000000

季度: 2.018010e+05  ,  金额: 12474.200000

季度: 2.018050e+05  ,  金额: 4896886.500000

季度: 2.018060e+05  ,  金额: 2717403.600000

季度: 2.018070e+05  ,  金额: 1082585.390000

季度: 2.018090e+05  ,  金额: 1450.000000

季度: 2.018100e+05  ,  金额: 15105.000000

季度: 2.018110e+05  ,  金额: 6372534.800000

季度: 2.018120e+05  ,  金额: 1600.000000

季度: 2.019010e+05  ,  金额: 780000.000000

季度: 2.019030e+05  ,  金额: 2000.000000

季度: 2.019040e+05  ,  金额: 1221520.520000

季度: 2.019050e+05  ,  金额: 2123598.380000

季度: 2.019060e+05  ,  金额: 1695000.000000

季度: 2.019070e+05  ,  金额: 2000.000000

季度: 2.019090e+05  ,  金额: 2469000.000000

季度: 2.019100e+05  ,  金额: 1665004.920000

季度: 2.019110e+05  ,  金额: 3000.000000

季度: 2.019120e+05  ,  金额: 1700200.000000

季度: 2.020010e+05  ,  金额: 1843117.600000

总流水交易额为: 39106169.220000, 总流水月平均交易额为: 1348488.593793
