公司ID: E37


季度: 2.017010e+05  ,  金额: 3540139.110000

季度: 2.017020e+05  ,  金额: 137612.000000

季度: 2.017030e+05  ,  金额: 488383.820000

季度: 2.017040e+05  ,  金额: 308175.200000

季度: 2.017050e+05  ,  金额: 362656.970000

季度: 2.017060e+05  ,  金额: 1077998.300000

季度: 2.017070e+05  ,  金额: 568136.000000

季度: 2.017080e+05  ,  金额: 747269.010000

季度: 2.017090e+05  ,  金额: 543671.000000

季度: 2.017100e+05  ,  金额: 1170238.040000

季度: 2.017110e+05  ,  金额: 867927.500000

季度: 2.017120e+05  ,  金额: 676003.000000

季度: 2.018010e+05  ,  金额: 1599838.800000

季度: 2.018020e+05  ,  金额: 1823904.000000

季度: 2.018030e+05  ,  金额: 264995.000000

季度: 2.018040e+05  ,  金额: 2022703.000000

季度: 2.018050e+05  ,  金额: 2148304.470000

季度: 2.018060e+05  ,  金额: 1616946.720000

季度: 2.018070e+05  ,  金额: 955057.100000

季度: 2.018080e+05  ,  金额: 966945.430000

季度: 2.018090e+05  ,  金额: 1525835.350000

季度: 2.018100e+05  ,  金额: 1636509.060000

季度: 2.018110e+05  ,  金额: 1265349.940000

季度: 2.018120e+05  ,  金额: 1293924.900000

季度: 2.019010e+05  ,  金额: 2762631.120000

季度: 2.019020e+05  ,  金额: 734089.000000

季度: 2.019030e+05  ,  金额: 2014460.500000

季度: 2.019040e+05  ,  金额: 374040.000000

季度: 2.019050e+05  ,  金额: 318196.700000

季度: 2.019060e+05  ,  金额: 2060349.710000

季度: 2.019070e+05  ,  金额: 717364.400000

季度: 2.019080e+05  ,  金额: 1821540.060000

季度: 2.019090e+05  ,  金额: 2352734.720000

季度: 2.019100e+05  ,  金额: 1124456.250000

季度: 2.019110e+05  ,  金额: 1393202.070000

季度: 2.019120e+05  ,  金额: 3711162.280000

季度: 2.020010e+05  ,  金额: 3080995.240000

总流水交易额为: 50073745.770000, 总流水月平均交易额为: 1353344.480270
