公司ID: E22


季度: 2.016100e+05  ,  金额: 73931.200000

季度: 2.016110e+05  ,  金额: 836387.600000

季度: 2.016120e+05  ,  金额: 330934.700000

季度: 2.017010e+05  ,  金额: 1431881.900000

季度: 2.017020e+05  ,  金额: 1013615.080000

季度: 2.017030e+05  ,  金额: 693271.760000

季度: 2.017050e+05  ,  金额: 2300401.900000

季度: 2.017060e+05  ,  金额: 541346.900000

季度: 2.017070e+05  ,  金额: 1246363.000000

季度: 2.017080e+05  ,  金额: 2872019.660000

季度: 2.017090e+05  ,  金额: 2602369.500000

季度: 2.017100e+05  ,  金额: 571460.700000

季度: 2.017110e+05  ,  金额: 2433037.800000

季度: 2.017120e+05  ,  金额: 3177726.980000

季度: 2.018010e+05  ,  金额: 2784014.000000

季度: 2.018020e+05  ,  金额: 3540383.900000

季度: 2.018030e+05  ,  金额: 1743134.340000

季度: 2.018040e+05  ,  金额: 665144.640000

季度: 2.018050e+05  ,  金额: 4474943.760000

季度: 2.018060e+05  ,  金额: 3772860.500000

季度: 2.018070e+05  ,  金额: 5239128.660000

季度: 2.018080e+05  ,  金额: 1859389.580000

季度: 2.018090e+05  ,  金额: 1329517.100000

季度: 2.018100e+05  ,  金额: 3183966.060000

季度: 2.018110e+05  ,  金额: 2430804.540000

季度: 2.018120e+05  ,  金额: 2075528.740000

季度: 2.019010e+05  ,  金额: 7153876.340000

季度: 2.019020e+05  ,  金额: 2715285.200000

季度: 2.019030e+05  ,  金额: 5119937.800000

季度: 2.019040e+05  ,  金额: 7378866.380000

季度: 2.019050e+05  ,  金额: 8841491.400000

季度: 2.019060e+05  ,  金额: 7099079.500000

季度: 2.019070e+05  ,  金额: 9080522.160000

季度: 2.019080e+05  ,  金额: 11417316.500000

季度: 2.019090e+05  ,  金额: 3527659.900000

季度: 2.019100e+05  ,  金额: 7402794.940000

总流水交易额为: 122960394.620000, 总流水月平均交易额为: 3415566.517222
