公司ID: E35


季度: 2.016100e+05  ,  金额: 477168.260000

季度: 2.016110e+05  ,  金额: 363647.640000

季度: 2.016120e+05  ,  金额: 399199.120000

季度: 2.017010e+05  ,  金额: 542278.020000

季度: 2.017020e+05  ,  金额: 502053.090000

季度: 2.017030e+05  ,  金额: 403498.410000

季度: 2.017040e+05  ,  金额: 551850.730000

季度: 2.017050e+05  ,  金额: 489996.790000

季度: 2.017060e+05  ,  金额: 1064501.660000

季度: 2.017070e+05  ,  金额: 427253.000000

季度: 2.017080e+05  ,  金额: 885334.180000

季度: 2.017090e+05  ,  金额: 533028.660000

季度: 2.017100e+05  ,  金额: 930062.780000

季度: 2.017110e+05  ,  金额: 769428.380000

季度: 2.017120e+05  ,  金额: 662501.350000

季度: 2.018010e+05  ,  金额: 1075242.690000

季度: 2.018020e+05  ,  金额: 854581.910000

季度: 2.018030e+05  ,  金额: 626054.520000

季度: 2.018040e+05  ,  金额: 1812926.910000

季度: 2.018050e+05  ,  金额: 257132.940000

季度: 2.018060e+05  ,  金额: 1005012.920000

季度: 2.018070e+05  ,  金额: 810673.760000

季度: 2.018080e+05  ,  金额: 974254.660000

季度: 2.018090e+05  ,  金额: 728337.940000

季度: 2.018100e+05  ,  金额: 391169.030000

季度: 2.018110e+05  ,  金额: 825734.850000

季度: 2.018120e+05  ,  金额: 989251.100000

季度: 2.019010e+05  ,  金额: 753512.360000

季度: 2.019020e+05  ,  金额: 1784669.860000

季度: 2.019030e+05  ,  金额: 1019955.670000

季度: 2.019040e+05  ,  金额: 1238458.940000

季度: 2.019050e+05  ,  金额: 2170705.070000

季度: 2.019060e+05  ,  金额: 1299875.620000

季度: 2.019070e+05  ,  金额: 2641362.110000

季度: 2.019080e+05  ,  金额: 1970658.960000

季度: 2.019090e+05  ,  金额: 2656636.620000

季度: 2.019100e+05  ,  金额: 3741575.310000

总流水交易额为: 38629585.820000, 总流水月平均交易额为: 1044042.860000
