公司ID: E58


季度: 2.017070e+05  ,  金额: 306780.000000

季度: 2.017080e+05  ,  金额: 623060.640000

季度: 2.017090e+05  ,  金额: -14420.000000

季度: 2.017100e+05  ,  金额: 296534.830000

季度: 2.017110e+05  ,  金额: 206618.000000

季度: 2.017120e+05  ,  金额: 2406883.420000

季度: 2.018010e+05  ,  金额: 77740.000000

季度: 2.018030e+05  ,  金额: 305887.330000

季度: 2.018040e+05  ,  金额: 558004.000000

季度: 2.018050e+05  ,  金额: 346080.000000

季度: 2.018060e+05  ,  金额: 1602345.000000

季度: 2.018070e+05  ,  金额: 39799.200000

季度: 2.018080e+05  ,  金额: 1528417.000000

季度: 2.018090e+05  ,  金额: 47000.000000

季度: 2.018100e+05  ,  金额: 232430.000000

季度: 2.018110e+05  ,  金额: 193000.000000

季度: 2.018120e+05  ,  金额: 3595270.220000

季度: 2.019030e+05  ,  金额: 67680.000000

季度: 2.019040e+05  ,  金额: 67680.000000

季度: 2.019050e+05  ,  金额: 1453089.890000

季度: 2.019060e+05  ,  金额: 892917.100000

季度: 2.019070e+05  ,  金额: 1678538.580000

季度: 2.019080e+05  ,  金额: 3383757.090000

季度: 2.019090e+05  ,  金额: 1203092.290000

季度: 2.019100e+05  ,  金额: 2900622.920000

总流水交易额为: 23998807.510000, 总流水月平均交易额为: 959952.300400
