公司ID: E56


季度: 2.017030e+05  ,  金额: 189708.000000

季度: 2.017040e+05  ,  金额: 104928.000000

季度: 2.017050e+05  ,  金额: 379955.000000

季度: 2.017060e+05  ,  金额: 367468.000000

季度: 2.017070e+05  ,  金额: 402948.000000

季度: 2.017080e+05  ,  金额: 385129.000000

季度: 2.017090e+05  ,  金额: 561777.000000

季度: 2.017100e+05  ,  金额: 612775.000000

季度: 2.017110e+05  ,  金额: 299321.000000

季度: 2.017120e+05  ,  金额: 799113.770000

季度: 2.018010e+05  ,  金额: 802061.000000

季度: 2.018020e+05  ,  金额: 561134.000000

季度: 2.018030e+05  ,  金额: 673533.370000

季度: 2.018040e+05  ,  金额: 549599.000000

季度: 2.018050e+05  ,  金额: 560049.550000

季度: 2.018060e+05  ,  金额: 898876.960000

季度: 2.018070e+05  ,  金额: 652516.370000

季度: 2.018080e+05  ,  金额: 331580.000000

季度: 2.018090e+05  ,  金额: 962115.220000

季度: 2.018100e+05  ,  金额: 922123.000000

季度: 2.018110e+05  ,  金额: 1005555.530000

季度: 2.018120e+05  ,  金额: 1469255.000000

季度: 2.019010e+05  ,  金额: 1107039.400000

季度: 2.019020e+05  ,  金额: 577675.000000

季度: 2.019030e+05  ,  金额: 922942.680000

季度: 2.019040e+05  ,  金额: 112281.840000

季度: 2.019050e+05  ,  金额: 946164.080000

季度: 2.019060e+05  ,  金额: 1121339.400000

季度: 2.019070e+05  ,  金额: 1455079.400000

季度: 2.019080e+05  ,  金额: 1625628.750000

季度: 2.019090e+05  ,  金额: 1640549.000000

季度: 2.019100e+05  ,  金额: 2157493.890000

季度: 2.019110e+05  ,  金额: 1553786.070000

季度: 2.019120e+05  ,  金额: 1462099.120000

季度: 2.020010e+05  ,  金额: 1964951.640000

总流水交易额为: 30138552.040000, 总流水月平均交易额为: 861101.486857
